id,name,vendor_sku,change_to
82140,Motorcycle Mechanic Toy,68-0050,Memorabilia -  toy
82147,Motorcycle Night Light,68-0057,Memorabilia - home
82104,Motorcycle Salt and Pepper Set,68-0024,Memorabilia - home
82046,MOTORSHOP COMMENTS,60-9999,Remove
42628,MULTIBARBAR RUBBER PAD KIT 2/PC,830-6008,
79503,Natural Leather Concho Rosette 1-3/4 inch,48-1667,Saddlebag accessories
79504,Natural Leather Concho Rosette 2 inch,48-1668,Saddlebag accessories
88267,Neck Cup Cone Cover Nut Zinc,24-0622,
80920,Neck Hallmark Number Plate,51-0073,frame general
80919,Neck Hallmark Number Plate,51-0072,frame general
81048,Neck Lock Pin Raw Steel,51-0473,frame general
74288,Needle Valve Lever,35-0922,
84766,NEUTRAL INDICATOR WASHER,14-5848,Indicator hardware
77322,Nevr-Dull Wadding Polish,41-0119,
79876,Nickel Plated Head Primer Cups,49-0668,
495731,Nickel Plated Secondary Chain 120 Link,19-0832,
82045,NO SERVICE PERFORMED,60-8888,Remove
516832,NYC Electrical Ignition Cover 2 Hole,42-1748,
516834,NYC M8 Electrical Ignition Cover 2 Hole,42-1750,
516833,NYC TC-88 Electrical Ignition Cover 5 Hole,42-1749,
82509,Nyloc Nut 1/4 inch-20 Stainless Steel,73-0273,
82508,Nyloc Nut 1/4 inch-28 Stainless Steel,73-0272,
82503,Nyloc Nut 3/8 inch-24 Stainless Steel,73-0267,
82510,Nyloc Nut 5/16 inch-24 Stainless Steel,73-0274,
513014,OE Balancer Bracket Assembly,37-1107,
495690,OE Balancer Chain,19-0635,
513011,OE Balancer Shift Bolt Set,37-1104,
513010,OE Balancer Support Screws,37-1103,
90233,OE Chrome Oil Pressure Sender Unit,32-0433,
515361,OE Engine Return and Feed Fitting Assembly,40-0077,
515360,OE Engine Vent Fitting Assembly Chrome,40-0076,
93345,OE FLHT/FLTR Trim Piece Black,39-0000,
94760,OE Parts Book for 2011 VRSC,48-1311,
91864,OE Screamin' Eagle 68mm Throttle Body,35-1748,
513012,OE Sprocket Washer Set,37-1105,
93959,OE Starter Cover Chrome,42-1879,
93537,Oil Feed Valve Assembly Zinc Plated,40-0325,
96109,Oil Passage Bolt Cadmium,8772-2,
96108,Oil Passage Bolt Chrome,8771-2,
90292,Oil Pressure Sender Unit,32-0586,
90162,Oil Pressure Sender Unit,32-0282,
74584,OKO Shorty Drain Valve,35-2448,
74418,OKO Single Throttle Disc,35-1390,
79573,One Gallon Oilzum Metal Can,48-1877,
79328,OUR HOLIDAY GIFT TO YOU!,48-1270,Remove
78030,Outlaw Black Pulley Cover Kit,43-0389,Pulley cover
78029,Outlaw Chrome Pulley Cover Kit,43-0388,Pulley cover
64294,"OUTOBOARD PLATE ONLY, BILLET ALUM POLISH",20-8906,
82531,Oval Phillips Screw 10-24 x 1/2 inch Stainless Steel,73-0296,
77387,Oval V-Fire Cover Chrome,42-0040,
68613,Oversized Threaded Nipple,2995-1,
519352,Paint and Number Reference Book,48-1757,
93859,Panhead Cover Set Aluminum,42-0759,
93718,Panhead Cover Set Chrome,42-0103,
93831,Panhead Cover Set Chrome,42-0640,
79059,Panhead Engine Plaque,48-0025,
