"product_id","sku","brand","source_vendor","name","image_url_status","image_url_content_type","good_catalog_media_remaining","classification"
"3113","07060230","DRAG SPECIALTIES","PU","Check Valve Assembly - EFI - Touring","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"10525","06102423","MAGNUM SHIELDING","PU","Black Pearl™ Designer Handlebar Installation Kit - 8"" - '21-'23 FLTR","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"13449","08021515","DRAG SPECIALTIES SEATS","PU","Solo Seat - Double Diamond - Red Stitching - FL/FX '18-'23","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"35860","06360648","SP CONNECT","PU","Screen Protector - Glass - iPhone 16 Pro","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"3159","02140873","DRAG SPECIALTIES","PU","Wheel Spacer - Chrome - Front Left/Right without ABS | Front Right with ABS - Dyna/Sportster/V-Rod","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"3162","02142733","DRAG SPECIALTIES","PU","Axle Nut - Front - Chrome - 1/2""-20 Thread","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"4747","02022223","COASTAL MOTO","PU","Wheel - Largo 3D - Rear - Single Disc/with ABS - Black - 18x7","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"7078","11310437","DRAG SPECIALTIES","PU","Steel Plate","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"21522","17200205","DRAG SPECIALTIES","PU","Organic Brake Pads - ""F"" Caliper","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"28577","08020924","DRAG SPECIALTIES SEATS","PU","Predator Seat - Black - Smooth - FL/FX '00-'17","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"7456","23110104","MEMPHIS SHADES","PU","Fats Windshield - Dark Black Smoke - 15""","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"18042","06510637","DRAG SPECIALTIES","PU","Black Vinyl Idle Cable - 54""","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"22961","21060266","PERFORMANCE MACHINE (PM)","PU","Ignition Switch - Scallop - Contrast Cut","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"33567","14050225","MUSTANG","PU","Fender Bib - Smooth - Black - HD Softail '13-'17","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"34761","21130094","PARTS UNLIMITED","PU","AGM Battery - YIX30L","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"18002","23200010","MEMPHIS SHADES","PU","Lowers Hardware - Harley-Davidson®/Honda","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"22443","20200398","DRAG SPECIALTIES","PU","Visor-Style Bezel/Lenses - Red","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"33205","06102410","MAGNUM SHIELDING","PU","Sterling Chromite II® Designer Handlebar Installation Kit - 6"" - '21-'22 FLHR","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"34033","08011172","MUSTANG","PU","Tripper Fastback Perewitz Seat - Diamond - FLH/FLT '08-'25","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"34899","17010306","PERFORMANCE MACHINE (PM)","PU","6 Piston Caliper - 13"" - Right - Contrast Cut","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"27399","02022224","COASTAL MOTO","PU","Wheel - Largo 3D - Rear - Single Disc/without ABS - Black - 18x7","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"31870","20302164","KODLIN USA","PU","License Plate Bracket - Black - Sportster S","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"84","04190003","DRAG SPECIALTIES","PU","Replacement Fork Damper Tube Mount Washers - 8 mm","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"17017","21040099","MAGNUM SHIELDING","PU","Spark Plug Wires - Polished - FXR","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"21706","17414066","MAGNUM SHIELDING","PU","Brake Line - 10 mm-35° - 17"" - Black Pearl","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"34180","08220493","MUSTANG","PU","Deluxe Driver Backrest - Black w/ Gunmetal Stitching - FLT/FLH '08-'25","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"34829","06102190","PERFORMANCE MACHINE (PM)","PU","Radial Brake Master Cylinder - 9/16"" - Black Ops","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"21867","17416745","MAGNUM SHIELDING","PU","Universal XR Brake Line - 38"" - Black w/ Black Fittings","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"28481","08040391","DRAG SPECIALTIES SEATS","PU","Solo Seat - Smooth - Driver Backrest - XL '04-'22","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"28661","17420046","DRAG SPECIALTIES","PU","Banjo Fitting - 3/8"" x AN3 - 90° - Short","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
